,title,issues,price,deskripsi,size,img,status
0,PUMBRE,Morbid Wound,Rp 199.000,Black polyester folding umbrella with white ink printing.,no size,"['https://www.maternaldisaster.com/wp-content/uploads/2024/05/pumbre-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/pumbre-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/pumbre-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/pumbre-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/pumbre-5-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/pumbre-6-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/pumbre-7-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/pumbre-8-500x500.jpg']", in ready
1,GRANCE,Morbid Wound,Rp 439.000,"Black polyester windbreaker jacekts, with white ink printing.","['S', 'M', 'L', 'XL', 'XXL']","['https://www.maternaldisaster.com/wp-content/uploads/2024/05/grance-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/grance-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/grance-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/grance-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/grance-5-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/grance-6-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/grance-7-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/grance-8-500x500.jpg']", in ready
2,SOLEM,Morbid Wound,Rp 449.000,"Black polyester cagoule jacket with adjustable drawstring hood, hidden button closure & pocket, elasticated cuffs, and rubber patch.","['S', 'M', 'L', 'XL', 'XXL']","['https://www.maternaldisaster.com/wp-content/uploads/2024/05/solem-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/solem-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/solem-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/solem-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/solem-5-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/solem-6-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/solem-7-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/solem-8-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/05/solem-9-500x500.jpg']", in ready
3,VEZZEL,Morbid Wound,Rp 399.000,Black polyester bomber jacket with black snap buttons and leather patch.,"['S', 'M', 'L', 'XL', 'XXL']","['https://www.maternaldisaster.com/wp-content/uploads/2024/04/vezzel-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/vezzel-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/vezzel-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/vezzel-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/vezzel-5-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/vezzel-6-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/vezzel-7-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/vezzel-8-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/vezzel-9-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/vezzel-10-500x500.jpg']", in ready
4,MEARAL,Morbid Wound,Rp 169.000,Silver chrome metal earings.,no size,"['https://www.maternaldisaster.com/wp-content/uploads/2024/04/mearal-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/mearal-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/mearal-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/mearal-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/mearal-5-500x500.jpg']",Out of Stock
5,STRAMA,Stranough,Rp 269.000,"Black webbing adjustable guitar strap with black genuine leather for strap pin, leather patch and white ink debossed screen print. Free 2 pcs guitar pick.",no size,"['https://www.maternaldisaster.com/wp-content/uploads/2024/04/stranal-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/stranal-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/stranal-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/stranal-4-500x500.jpg']", in ready
6,MATOUGH,Stranough,Rp 199.000,"Black 20s cotton short sleeve T-shirts, tubular fit, seamless double needle 2cm collar, taped neck and shoulders, satin & cotton label,
double needle sleeve and bottom hem, multicolor plastisol ink screen print.",no size,"['https://www.maternaldisaster.com/wp-content/uploads/2024/04/matough-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/matough-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/matough-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/matough-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/matough-5-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/matough-6-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/0-ts-ss-size-chart-2023-4-500x500.jpg']",Out of Stock
7,DISTRA,Stranough,Rp 199.000,"White 20s cotton short sleeve T-shirts, tubular fit, seamless double needle 2cm collar, taped neck and shoulders, satin & cotton label,
double needle sleeve and bottom hem, black plastisol ink screen print.","['M', 'L', 'XL']","['https://www.maternaldisaster.com/wp-content/uploads/2024/04/distra-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/distra-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/distra-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/distra-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/distra-5-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/distra-6-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/0-ts-ss-size-chart-2023-4-500x500.jpg']", in ready
8,ILLUMINATE,Stranough,Rp 4.399.000,"Black Mahogany (body & neck) 24″ short scale mini guitar with customized pearloid bat inlay, Stranough Pyrogenic pickup, solid keystone tuning machine, tune matic bridge with brass rod and nylon string turning. Equipped with earphone output and aux-in audio input. Free strap with 2 guitar picks, audio earphone cases and guitar case.",no size,"['https://www.maternaldisaster.com/wp-content/uploads/2024/04/illuminate-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/illuminate-5-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/illuminate-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/illuminate-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/illuminate-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/illuminate-6-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/illuminate-7-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/illuminate-8-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/illuminate-9-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/illuminate-10-500x500.jpg']",Out of Stock
9,HELLPARK TS,Mtrnl Merch,Rp 189.000,"Black 20s cotton short sleeve T-shirts, tubular fit, seamless double needle 2cm collar, taped neck and shoulders, satin & cotton label, double needle sleeve and bottom hem, multi color plastisol ink screen print.","['S', 'M', 'L', 'XL', 'XXL']","['https://www.maternaldisaster.com/wp-content/uploads/2024/04/hellpark-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/hellpark-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/hellpark-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/04/hellpark-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/0-ts-ss-size-chart-2023-4-500x500.jpg']", in ready
10,HOODED TS,Mtrnl Merch,Rp 189.000,"Black 20s cotton short sleeve T-shirts, tubular fit, seamless double needle 2cm collar, taped neck and shoulders, satin & cotton label, double needle sleeve and bottom hem, multi color plastisol ink screen print.","['M', 'L']","['https://www.maternaldisaster.com/wp-content/uploads/2024/03/hooded-ts-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/hooded-ts-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/hooded-ts-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/0-ts-ss-size-chart-2023-4-500x500.jpg']", in ready
11,LASTXMINUTE TS,Mtrnl Merch,Rp 189.000,"Black 20s cotton short sleeve T-shirts, tubular fit, seamless double needle 2cm collar, taped neck and shoulders, satin & cotton label, double needle sleeve and bottom hem, multi color plastisol ink screen print.","['S', 'M', 'L', 'XL', 'XXL']","['https://www.maternaldisaster.com/wp-content/uploads/2024/03/lastxminute-ts-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/lastxminute-ts-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/lastxminute-ts-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/0-ts-ss-size-chart-2023-4-500x500.jpg']", in ready
12,BREAKTHROUGH TS,Mtrnl Merch,Rp 189.000,"Black 20s cotton short sleeve T-shirts, tubular fit, seamless double needle 2cm collar, taped neck and shoulders, satin & cotton label, double needle sleeve and bottom hem, white plastisol ink screen print.","['S', 'M', 'L', 'XL', 'XXL']","['https://www.maternaldisaster.com/wp-content/uploads/2024/03/breakthrough-ts-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/breakthrough-ts-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/breakthrough-ts-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/breakthrough-ts-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/0-ts-ss-size-chart-2023-4-500x500.jpg']", in ready
13,NALWEL,Morbid Wound,Rp 199.000,"Black, white, grey cotton terry towel with direct knitting on the bottom tip.",no size,"['https://www.maternaldisaster.com/wp-content/uploads/2024/03/nalwel-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/nalwel-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/nalwel-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/nalwel-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/nalwel-5-500x500.jpg']", in ready
14,OSROT,Morbid Wound,Rp 399.000,Black polyester windbreaker jacket with black rubber patch.,"['S', 'M', 'L', 'XL', 'XXL']","['https://www.maternaldisaster.com/wp-content/uploads/2024/03/osrot-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/osrot-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/osrot-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/osrot-9-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/osrot-5-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/osrot-6-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/osrot-7-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/osrot-8-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/osrot-10-500x500.jpg']", in ready
15,KERM,Morbid Wound,Rp 349.000,Black genuine leather mini sling bag with silver ink color embossed screen print and black mate zipper.,no size,"['https://www.maternaldisaster.com/wp-content/uploads/2024/03/kerm-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/kerm-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/kerm-8-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/kerm-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/kerm-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/kerm-5-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/kerm-6-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/kerm-7-500x500.jpg']", in ready
16,KANGO,Morbid Wound,Rp 349.000,Black nilon 1000D sling bag / cross-body bag with black ink screen print and woven label.,no size,"['https://www.maternaldisaster.com/wp-content/uploads/2024/03/kango-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/kango-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/kango-5-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/kango-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/kango-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/kango-7-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/kango-8-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/kango-9-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/kango-10-500x500.jpg']", in ready
17,SLANTE,Morbid Wound,Rp 349.000,Black folding chair with white ink screen print and multi purpose compatement bags underneath the seat.,no size,"['https://www.maternaldisaster.com/wp-content/uploads/2024/03/slante-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/slante-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/slante-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/slante-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/slante-5-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/slante-6-500x500.jpg']", in ready
18,THMEL,Morbid Wound,Rp 129.000,Black enamel mug with white printing.,no size,"['https://www.maternaldisaster.com/wp-content/uploads/2024/03/thmel-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/thmel-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/thmel-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/thmel-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/thmel-5-500x500.jpg']", in ready
19,MAKIES,Morbid Wound,Rp 169.000,60 pcs customize threat logo shape ginger cookies with engrave laser transparent hexagon glass jar.,no size,"['https://www.maternaldisaster.com/wp-content/uploads/2024/03/makies-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/makies-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/makies-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/makies-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/makies-5-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/makies-6-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/makies-7-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/makies-8-500x500.jpg']",Out of Stock
20,UWR 119,Morbid Wound,Rp 89.000,"Black and red spandex (95% cotton, 5% elastane) boxer briefs with cotton label.","['S', 'M', 'L', 'XL', 'XXL']","['https://www.maternaldisaster.com/wp-content/uploads/2024/03/uwr-119-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/uwr-119-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/uwr-119-2-500x500.jpg']", in ready
21,UWR 118,Morbid Wound,Rp 89.000,"Black spandex (95% cotton, 5% elastane) boxer briefs with yellow discharge ink screen print.","['S', 'M', 'L', 'XL', 'XXL']","['https://www.maternaldisaster.com/wp-content/uploads/2024/03/uwr-118-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/uwr-118-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/uwr-118-2-500x500.jpg']", in ready
22,UWR 117,Morbid Wound,Rp 89.000,Black cotton boxer pants with white discharge ink screen print.,"['S', 'M', 'L', 'XL', 'XXL']","['https://www.maternaldisaster.com/wp-content/uploads/2024/03/uwr-117-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/uwr-117-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/uwr-117-2-500x500.jpg']", in ready
23,UWR 116,Morbid Wound,Rp 89.000,Black cotton boxer pants with white discharge ink screen print.,"['S', 'M', 'L', 'XL', 'XXL']","['https://www.maternaldisaster.com/wp-content/uploads/2024/03/uwr-116-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/uwr-116-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/uwr-116-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/matdent-7-500x500.jpg']", in ready
24,MATDENT,Morbid Wound,Rp 259.000,Black 400 gsm cotton terry walk shorts with white ink screen print.,"['28', '30', '32', '34', '36', '38']","['https://www.maternaldisaster.com/wp-content/uploads/2024/03/matdent-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/matdent-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/matdent-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/matdent-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/matdent-5-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/matdent-6-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/matdent-7-500x500.jpg']", in ready
25,WILVS,Morbid Wound,Rp 259.000,Black 400 gsm cotton terry walk shorts with silver direct embroidery.,"['28', '30', '32', '34', '36', '38']","['https://www.maternaldisaster.com/wp-content/uploads/2024/03/wilvs-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/wilvs-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/wilvs-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/wilvs-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/wilvs-5-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/wilvs-6-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/wilvs-7-500x500.jpg']", in ready
26,GLORIA,Morbid Wound,Rp 1.699.000,"High quality black genuine lamb leather motorcycle jacket with black satin furing, silver chrome color zipper and debossed logo.
Free woven patch, cover jacket, and Maternal member card.",no size,"['https://www.maternaldisaster.com/wp-content/uploads/2024/03/gloria-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/gloria-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/gloria-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/gloria-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/gloria-5-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/gloria-6-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/gloria-7-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/gloria-8-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/gloria-9-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/gloria-10-500x500.jpg']",Out of Stock
27,MAHARA,Morbid Wound,Rp 279.000,Light brown stretch polyester long sleeves button-ups shirt with light brown plastic buttons and light brown direct embroidery.,"['S', 'M', 'L', 'XL', 'XXL']","['https://www.maternaldisaster.com/wp-content/uploads/2024/03/mahara-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/mahara-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/mahara-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/mahara-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/mahara-5-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/mahara-6-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/mahara-7-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/0-shirts-LS-size-chart-2-500x500.jpg']", in ready
28,LAKO,Morbid Wound,Rp 409.000,Black genuine leather mini sling bag / pouch with silver chrome color zipper and silver color ink embossed screen print.,no size,"['https://www.maternaldisaster.com/wp-content/uploads/2024/03/lako-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/lako-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/lako-8-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/lako-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/lako-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/lako-5-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/lako-6-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/lako-7-500x500.jpg']", in ready
29,OMNUET,Morbid Wound,Rp 319.000,Black nylon 1000D backpack with cotton patch and leather lash tab. Rain cover included.,no size,"['https://www.maternaldisaster.com/wp-content/uploads/2024/03/omnuet-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/omnuet-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/omnuet-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/omnuet-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/omnuet-5-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/omnuet-6-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/omnuet-7-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/omnuet-8-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/omnuet-9-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/omnuet-10-500x500.jpg']", in ready
30,MORBID SP,Morbid Wound,Rp 49.000,"Sticker pack, containing 10 pcs vinyl stickers with variant size and colors.",no size,"['https://www.maternaldisaster.com/wp-content/uploads/2024/03/morbid-sp-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/morbid-sp-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/morbid-sp-2-500x500.jpg']", in ready
31,WALLARO,Svggest,Rp 249.000,Black and light brown water reppelent polyester canvas waist bag with cotton patch and black matte zippers.,no size,"['https://www.maternaldisaster.com/wp-content/uploads/2024/03/wallaro-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/wallaro-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/wallaro-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/wallaro-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/wallaro-5-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/wallaro-6-500x500.jpg']", in ready
32,GRACKLE,Svggest,Rp 409.000,"Black wrinkle polyester slimfit cargo detachable longpants with leather backpatch, white direct embroidery and woven patch.","['28', '30', '32', '34', '36', '38']","['https://www.maternaldisaster.com/wp-content/uploads/2024/03/grackle-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/grackle-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/grackle-5-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/grackle-6-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/grackle-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/grackle-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/grackle-7-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/grackle-8-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/grackle-9-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/zren-8-500x500.jpg']", in ready
33,MARKHOR,Svggest,Rp 189.000,Black jungle hat with webbing strap and woven labels.,no size,"['https://www.maternaldisaster.com/wp-content/uploads/2024/03/markhor-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/markhor-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/markhor-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/markhor-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/markhor-5-500x500.jpg']", in ready
34,MOLLY,Svggest,Rp 399.000,Black high density polyester water repelent rain coat with reflective ink screen print.,no size,"['https://www.maternaldisaster.com/wp-content/uploads/2024/03/molly-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/molly-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/molly-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/molly-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/molly-5-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/molly-6-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/molly-7-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/molly-8-500x500.jpg']", in ready
35,PENTHRA,Svggest,Rp 599.000,"Black and light brown water reppelent polyester canvas back pack with cotton patch, webbing cotton and 16″ laptop sleeves.",no size,"['https://www.maternaldisaster.com/wp-content/uploads/2024/03/penthra-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/penthra-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/penthra-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/penthra-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/penthra-5-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/penthra-6-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/03/penthra-7-500x500.jpg']", in ready
